comment_text,comment_type
"Wow, you changed the button color from blue to slightly lighter blue. Truly groundbreaking innovation.",Sarcastic
This website is a disappointing experience. It's so slow and keeps crashing.,Negative
Best software I've used in years. The quality is wonderful.,Positive
I showed this to my hamster and now it's demanding a raise. Thanks a lot.,Joking
This is exactly the content I was looking for. So helpful and well-explained.,Positive
Your video just made my day. Thank you!,Positive
This is exactly the content I was looking for. So helpful and well-explained.,Positive
I love the new color scheme! It makes everything so much easier.,Positive
Are you a magician? Because this design just made my productivity disappear.,Joking
Are you a magician? Because this design just made my productivity disappear.,Joking
The user interface on this website is a game-changer. So intuitive!,Positive
Why did you change the upload speed? The old version was so much better.,Negative
This headset was advertised as 'unbreakable'. I guess dropping it was asking too much.,Sarcastic
Waited 10 minutes for this page to load. Absolutely frustrating.,Negative
Your design just made my day. Thank you!,Positive
This service was advertised as 'unbreakable'. I guess dropping it was asking too much.,Sarcastic
"Oh, another picture of your food. How original. My life is complete now.",Sarcastic
This is exactly the content I was looking for. So helpful and well-explained.,Positive
Waited 10 minutes for this page to load. Absolutely slow.,Negative
The user interface on this website is a game-changer. So intuitive!,Positive
"Sure, I have 45 minutes to watch an unboxing video for a paperclip. Sounds like a great use of my time.",Sarcastic
I showed this to my toaster and now it's demanding a raise. Thanks a lot.,Joking
This software was advertised as 'unbreakable'. I guess dropping it was asking too much.,Sarcastic
"Help, I've watched this tutorial five times and I can't stop.",Joking
The latest update made the app almost confusing.,Negative
This tutorial is absolutely wonderful! Keep up the great work.,Positive
The latest update made the camera almost slow.,Negative
This is exactly the content I was looking for. So helpful and well-explained.,Positive
Why did you change the search function? The old version was so much better.,Negative
"Wow, you changed the button color from blue to slightly lighter blue. Truly groundbreaking innovation.",Sarcastic
Why did you change the new layout? The old version was so much better.,Negative
"Sure, I have 45 minutes to watch an unboxing video for a paperclip. Sounds like a great use of my time.",Sarcastic
The latest update made the app almost buggy.,Negative
"Help, I've watched this video five times and I can't stop.",Joking
The latest update made the service almost slow.,Negative
The latest update made the keyboard almost disappointing.,Negative
Your post just made my day. Thank you!,Positive
"Sure, I have 45 minutes to watch an unboxing video for a paperclip. Sounds like a great use of my time.",Sarcastic
Why did you change the user interface? The old version was so much better.,Negative
I'm really not a fan of this song. The quality is quite poor.,Negative
I love the new new layout! It makes everything so much easier.,Positive
Your tutorial just made my day. Thank you!,Positive
I love the new color scheme! It makes everything so much easier.,Positive
My pet rock could have designed a better photo than this.,Joking
Your video just made my day. Thank you!,Positive
"Clearly, this upload speed was built by a team of geniuses.",Sarcastic
Are you a magician? Because this post just made my productivity disappear.,Joking
This website is a unusable experience. It's so slow and keeps crashing.,Negative
I love the new color scheme! It makes everything so much easier.,Positive
I just love how the page reloads and loses all my form data every time I click a link. It's a fantastic feature.,Sarcastic
"Oh, another picture of your food. How original. My life is complete now.",Sarcastic
This is exactly the content I was looking for. So helpful and well-explained.,Positive
I showed this to my grandma and now it's demanding a raise. Thanks a lot.,Joking
This is exactly the content I was looking for. So helpful and well-explained.,Positive
This is exactly the content I was looking for. So helpful and well-explained.,Positive
The color scheme on this website is a game-changer. So intuitive!,Positive
Your design just made my day. Thank you!,Positive
This design is absolutely superb! Keep up the great work.,Positive
The upload speed on this website is a game-changer. So intuitive!,Positive
My potato could have written a better article than this.,Joking
Your video just made my day. Thank you!,Positive
"Sure, I have 45 minutes to watch an unboxing video for a paperclip. Sounds like a great use of my time.",Sarcastic
"Wow, you changed the button color from blue to slightly lighter blue. Truly groundbreaking innovation.",Sarcastic
This tutorial is very unusable. I'm more confused now than when I started.,Negative
Why did you change the user interface? The old version was so much better.,Negative
Your tutorial just made my day. Thank you!,Positive
This post is absolutely amazing! Keep up the great work.,Positive
I showed this to my cat and now it's demanding a raise. Thanks a lot.,Joking
This is exactly the content I was looking for. So helpful and well-explained.,Positive
"Oh, another picture of your food. How original. My life is complete now.",Sarcastic
This song is absolutely wonderful! Keep up the great work.,Positive
I just love how the page reloads and loses all my form data every time I click a link. It's a fantastic feature.,Sarcastic
This website is a horrible experience. It's so slow and keeps crashing.,Negative
My cat could have implemented a better post than this.,Joking
This website is a horrible experience. It's so slow and keeps crashing.,Negative
This service was advertised as 'unbreakable'. I guess dropping it was asking too much.,Sarcastic
This tutorial is absolutely excellent! Keep up the great work.,Positive
I love the new color scheme! It makes everything so much easier.,Positive
This is exactly the content I was looking for. So helpful and well-explained.,Positive
Is there a hidden 'buy now' button that also orders a pizza? Because that's the feature I really need.,Joking
I just love how the page reloads and loses all my form data every time I click a link. It's a fantastic feature.,Sarcastic
Best keyboard I've used in years. The quality is excellent.,Positive
Best phone I've used in years. The quality is amazing.,Positive
"This new feature is so good, it made my computer start making coffee. 10/10 would recommend.",Joking
I'm really not a fan of this design. The quality is quite poor.,Negative
This website is a frustrating experience. It's so awful and keeps crashing.,Negative
My pet rock could have implemented a better song than this.,Joking
"Sure, I have 45 minutes to watch an unboxing video for a paperclip. Sounds like a great use of my time.",Sarcastic
Why did you change the user interface? The old version was so much better.,Negative
I'm really not a fan of this post. The quality is quite poor.,Negative
My potato could have coded a better video than this.,Joking
"Wow, you changed the button color from blue to slightly lighter blue. Truly groundbreaking innovation.",Sarcastic
"Oh, another picture of your food. How original. My life is complete now.",Sarcastic
The latest update made the camera almost slow.,Negative
Best software I've used in years. The quality is outstanding.,Positive
"Wow, you changed the button color from blue to slightly lighter blue. Truly groundbreaking innovation.",Sarcastic
"Oh, another picture of your food. How original. My life is complete now.",Sarcastic
This website is a terrible experience. It's so horrible and keeps crashing.,Negative
This tutorial is very buggy. I'm more confused now than when I started.,Negative
"Clearly, this new layout was implemented by a team of geniuses.",Sarcastic
The search function on this website is a game-changer. So intuitive!,Positive
I love the new search function! It makes everything so much easier.,Positive
"Help, I've watched this post five times and I can't stop.",Joking
This tutorial is very frustrating. I'm more confused now than when I started.,Negative
Is there a hidden 'buy now' button that also orders a pizza? Because that's the feature I really need.,Joking
"Clearly, this search function was implemented by a team of geniuses.",Sarcastic
This app was advertised as 'unbreakable'. I guess dropping it was asking too much.,Sarcastic
Waited 10 minutes for this page to load. Absolutely awful.,Negative
This video is absolutely amazing! Keep up the great work.,Positive
Is there a hidden 'buy now' button that also orders a pizza? Because that's the feature I really need.,Joking
Your article just made my day. Thank you!,Positive
Why did you change the new layout? The old version was so much better.,Negative
Why did you change the search function? The old version was so much better.,Negative
"Help, I've watched this tutorial five times and I can't stop.",Joking
Are you a magician? Because this tutorial just made my productivity disappear.,Joking
This headset was advertised as 'unbreakable'. I guess dropping it was asking too much.,Sarcastic
Why did you change the user interface? The old version was so much better.,Negative
"Clearly, this upload speed was designed by a team of geniuses.",Sarcastic
The latest update made the camera almost frustrating.,Negative
"Clearly, this search function was created by a team of geniuses.",Sarcastic
"Sure, I have 45 minutes to watch an unboxing video for a paperclip. Sounds like a great use of my time.",Sarcastic
I'm really not a fan of this photo. The quality is quite poor.,Negative
This is exactly the content I was looking for. So helpful and well-explained.,Positive
This post is absolutely superb! Keep up the great work.,Positive
My cat could have written a better post than this.,Joking
The latest update made the app almost confusing.,Negative
I just love how the page reloads and loses all my form data every time I click a link. It's a fantastic feature.,Sarcastic
"Clearly, this new layout was coded by a team of geniuses.",Sarcastic
This video is absolutely amazing! Keep up the great work.,Positive
Are you a magician? Because this article just made my productivity disappear.,Joking
